key,ar,en,es,fr,ru,zh
skos:closeMatch,مفاهيم متطابقة بشكل وثيق,Closely matching concepts,Concepto equivalente concordante,Concept proche,Концепции близкого соответствия ,紧密匹配的概念
skos:closeMatch_help,مفاهيم متطابقة بشكل وثيق في مفردات أخرى.,Closely matching concepts in another vocabulary.,Concepto equivalente concordante en otro vocabulario.,Concept proche dans un autre vocabulaire,Концепции близкого соответствия в другом словаре.,在另一词汇表中紧密匹配的概念
skos:definition,تعريف,Definition,Definición,Définition,Определение,定义
skos:definition_help,شرح كامل للمعنى المقصود لمفهوم,A complete explanation of the intended meaning of a concept,Una explicación completa del significado deseado para un concepto,Une explication du sens précis de ce concept,Полное объяснение предполагаемого значения концепции,某概念特定涵义的完全解释
skos:editorialNote,تبصرة تحريرية,Editorial note,Nota editorial,Note éditoriale,Редакционная заметка,编者按
skos:exactMatch,مفاهيم مطابقة تماما,Exactly matching concepts,Concordancia exacta,Equivalence exacte,Концепции точного соответствия,精确匹配
skos:exactMatch_help,مفاهيم مطابقة تماما في مفردات أخرى.,Exactly matching concepts in another vocabulary.,Conceptos exactamente concordantes en otro vocabulario.,Concepts équivalents dans un autre vocabulaire.,Концепции точного соответствия в другом словаре.,在另一词汇表中精确匹配的概念
skos:example,مثال,Example,Ejemplo,Exemple,Пример,实例
skos:hasTopConcept,لديه مفهوم أعلى,Has top concept,Conceptos cabecera,A pour top concept,Имеет топ концепцию,有顶层概念
skos:historyNote,تبصرة تاريخية,History note,Nota histórica,Note historique,Историческая справка,历史注解
skos:inScheme,مخطط المفهوم,Concept scheme,Esquema de conceptos,Schéma de concept,Концептуальная схема,概念结构
skos:member,أعضاء المجموعة,Group members,Miembros del grupo,Membres du groupe,Члены группы,小组成员
skos:member_help,أعضاء المجموعة,Members of the group,Integrantes del grupo,Membres du groupe,Члены группы,小组成员
skos:narrowMatch,مفاهيم أضيق مطابقة,Narrower matching concepts,Conceptos específicos concordantes,Equivalences spécifiques,Концепции соответствия более узкого понятия,狭义匹配概念
skos:narrowMatch_help,مفاهيم أضيق مطابقة في مفردات أخرى.,Narrower matching concepts in another vocabulary.,Concepto específico concordante en otro vocabulario.,Concepts spécifiques dans un autre vocabulaire.,Концепции соответствия более узкого понятия в другом словаре.,在另一词汇表中匹配的狭义概念
skos:narrower,مفاهيم أضيق,Narrower concepts,Conceptos específicos,Concepts spécifiques,Концепции более узкого понятия,狭义概念
skos:narrower_help,مفاهيم أضيق.,Narrower concepts.,Conceptos específicos,Concepts spécifiques (TS).,Концепции более узкого понятия.,狭义概念
skos:notation,,Notation,,,,
skos:notation_help,,Code that uniquely identifies a concept within a concept scheme.,,,,
skos:note,تبصرة,Note,Nota,Note,Заметка,注释，说明
skos:note_help,تبصرات,Notes,Notas,Notes,Заметки,注释，说明（复数）
skos:prefLabel,المصطلح المفضل,Preferred term,Término preferido,Terme préférentiel,Предпочитаемый термин,优选词，正式主题词
skos:related,المفاهيم ذات الصلة,Related concepts,Conceptos relacionados,Concepts associés,Родственные концепции,相关概念
skos:relatedMatch,المفاهيم المطابقة ذات الصلة,Related matching concepts,Conceptos relacionados en otros vocabularios,Concepts associés dans d'autres vocabulaires,Концепции родственного соответствия,其他词汇表中相关概念
skos:related_help,المفاهيم المتعلقة بهذا المفهوم.,Concepts related to this concept.,Conceptos relacionados con este concepto.,"Concepts associés (TA, related)","Концепции, связанные с этой концепцией.",与本概念相关的概念
skos:scopeNote,تبصرة توضيحية,Scope note,Nota de alcance,Note d'application,Примечание,范围注释，叙词含义说明
skos:scopeNote_help,تبصرات حول استخدام ومجال المفهوم.,Notes about the usage and scope of the concept.,Notas acerca de la utilización y el alcance del concepto.,Notes sur l'utilisation et la couverture de ce concept.,Заметки об использовании и сфере применения концепции.,概念使用与范围的说明
skos:topConceptOf,ينتمي إلى المفردات,Belongs to vocabulary,Pertenece al vocabulario,Appartient au vocabulaire,Принадлежит словарю,属于词汇表
skosext:DeprecatedConcept,مفهوم غير مستخدم,Deprecated concept,Concepto obsoleto,Concept déprécié,Устаревшая концепция,已弃用概念
skosext:partOf,جزء من,Is part of,Es parte de,Est partie de,Часть,是...部分
skosext:partOf_help,الكل الذي يعد المفهوم جزء منه.,Whole which the concept is a part of.,El todo del cual el concepto hace parte.,L'ensemble duquel ce concept est une partie.,"Целое, частью которого является концепция.",该概念为的整体一部分
skosmos:created,تاريخ الإنشاء,Created,Creado,Date de création,Создано,创建的
skosmos:marcSourceCode,,MARC source code,,,,
skosmos:memberOf,ينتمي إلى المجموعة,Belongs to group,Pertenece al grupo,Appartient au groupe,Принадлежит к группе,属于组
skosmos:memberOfArray,ينتمي إلى المصفوفة,Belongs to array,,Appartient au tableau,Принадлежит к массиву,
skosmos:memberOfArray_help,المصفوفة التي ينتمي إليها المفهوم.,Array which the concept belongs to.,,Le tableau de concepts auquel ce concept appartient.,"Массив, которому принадлежит концепция.",
skosmos:memberOf_help,المجموعة التي ينتمي إليها المفهوم.,Group which the concept belongs to.,Grupo al cual pertenece el concepto.,Le groupe auquel appartient le concept.,"Группа, которой принадлежит концепция.",概念归属的组
skosmos:modified,آخر تعديل,last modified,última modificación,dernière modification le,последнее изменение,最后修改
wgs84:lat,,Latitude,,,,
wgs84:lat_help,,Latitude in decimal degrees according to WGS 84 system.,,,,
wgs84:long,,Longitude,,,,
wgs84:long_help,,Longitude in decimal degrees according to WGS 84 system.,,,,
zxx-x-taxon,الاسم العلمي,Scientific name,,Nom scientifique,Научное название,
